Bat eto dumating. Di eto inorder ko. Sira pa plastic!!!!,0
Ayan inorder namin vs sa nakuha namin bakit naman ganon tatlong pirasong laruan na panget 117 pesos? Sana mabalik bayad🙂,0
wrong item delivered! halatang manloloko! yung item naka pentel na black. yung nakasulat yun yung order namin pero yung dumating parang basura hindi uung item namin,0
Ibang iba ung itsura nung pinost nilang picture ng pop it sa dumating saming pop it.nadisappoint tlga mga anak ko kse ang baboy dw nung kulay ng pop it nila hndi nila na gustuhan ung itsura ng kulay bakit dw ganun ang ganda dw sa picture bakit ung dumating dw sa knila ang pangit ng kulay??,0
worst shop!!!!! the item is damaged. i paid it 106 but they're just offering 50 pesos for the refund... i'm so dissapointed i just accept the item for less hassle but i will never buy again in this shop!!!!!,0
Parang abnuy yung seller sabi ko cancel sabi nya okeda ta hindi man kinancel see the ss😒,0
Bwisit wag kayong umorder dito sa shop nato,0
hindi maganda ung quality dahil my butas nung diniliver sya . nakaka dismaya 🙄,0
kulang kulang naman item! Mali mali pa sa description! ,0
Bakit ganun square ung order ko iba dineliver...😓😓 Nakakadismaya nman...,0
May sira sa likod. Yung nagdeliver naman nagkalituhan sa address ending layo nilakad ko .,0
kulang na kulang yng items na order ko dapat 2 items at free gift nka lagay.kaso nkarating sa akin 1 item lng at free gift kulang na kulang.kaya ang rate ko 1 star lng,0
" Sayang pera, USELESS nman!",0
Did not receive the item ordered my daughter is very sad only received this very disapointed,0
Hindi tamang item ang dumating ang kayo SA order wala lng akong time magreturn... hexagon ang order KO dumating data heheheh,0
bibigyan ko po 1 star kasi po hindi po pop ot yung nag dating isang mochi lang po,0
ANO TO?! HINDI GANITO YUNG ORDER KO!!!,0
not recommended seller !!!!,0
BAKIT GANITO YUNG NARECEIVE NAMIN?!!!!! DON'T ORDER FROM THIS SHOP!!!!!,0
Scammer. Isda yung dumating. ,0
sobrang tagal mali pa ung color na binigay dissapointed 😔,0
Baduy ,0
Don't buy the car fidget toy! Its a reject product! I'm asking the seller what we can do on that item but their just ignoring my msgs even if their online! Poor after sales service! Not recommended seller,0
May damage saakin may sira 😡😡 maty butas.. ngayon kulang napansin anoto bumili ako para itapon ?😡😡😡😡😡sana mapalitan ang aitem ayosin nyo namn,0
Hindi siya mapindot. sayang lang yung pera nakaka dissapoint. I will not recommend this shop!!!!,0
I paid for a higher price as I ordered a starry sky worth P49 but then the seller sent a plain one worth P39 and the seller dont want to compromise. Seller wanted me to send back the item but all will be shouldered by me instead of them as it was their fault. Don't buy here not worth your money guys,0
Very disappointed!! Kawawa anak ko sa dineliver nyo!!! Kung alam nyong sira sana nag message kayo para palitan nlng yung item hindi yung mgbabayad ako ng tama tas idedeliver nyo sira. Sa dami ng inorderan ko sa inyo lng tlga may sira!!! WAG KAYONG OORDER DITO SA SHOP NA TOH!!! ZERO RATING KO SA INYO,0
"pop it, supposed to pop but not.. low quality ampanget. inorder namin Starry ksy sa picture mas malaki dumating maliit lang din. we dont recommend this. sayang lang. will not order again",0
APAT INORDER KO DALAWA LANG PINADALA WILL ORDER AGAIN 😡,0
"ang inorder ko ay Simple dimple na 3 in 1 eh bakit ang dumating sakin eh 2 in 1 lang na Simple dimple bakit ganun!! at ang pangit pa ng quality parang 3 days lang sira na agad, I will not order again!!",0
Nakakainis kala namin maganda tapos ganito 💢😡😡😡😡😡😡,0
"Iba dumating sakin sa onorder ko,why naman ganun seller,nag expect mga anak ko,pero wala akong choice kundi accept to,salamat nalang kay rider",0
Ang panget sobrang lambot!,0
"2 buttons lng pla kala q 3 buttons, wrong item pinadala, 3 in 1 order q tapos 2 in 1 dumating",0
Very low quality tulad nang nakita nio sa photo may sira......................................... 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,0
Poor quality. Unresponsive seller.,0
Dissappointed on how the seller distribute random colors. I ordered two items and expecting it will in 2 different colors but sent me with the same color. Easy way on how the seller can dispose unwanted item colors or i dontl know if the seller is color blinded.,0
Kakainis dito.. nagsabi ako na kulang ung pinadala sa akin na pop it.. tpos nagpasalamat pa!! D ok dito wag kayo bumili dito kasi bago ako mag rate ilang beses na ako nag message sa kanila wala man lang response na matino... Aayusin ko ratings neto pag naisoli sa akin ung 2 na kulang na pop it!,0
Sira .. sira talag nagmessage ako wala manlang reply,0
Missing 2 items. Tried reaching out to the seller but no response,0
Kala q poh set na yon lahat hindi pala,0
nasira agad butas ung sa bandang takip,0
"di nagreresponse si seller, tapos yung pop it may punit pa will not order again",0
Item is defective,0
PLEASE PLEASE DO NOT ORDER IN THIS SHOP TOTOO ANG NEGATIVE NA MGA COMMENTS INCOMPLETE ITEM/SIRA PRODUCT (DAHIL SUPER NIPIS SIGURO NABUBUTAS AGAD)/MALI ANG VARIATION NA SINESEND. BASURA NA SHOP TO DAMI NG COMPLAINTS YET DI NAGIIMPROVE. BASUUUUUUURAAAAAAAAAAAAAAAAA,0
Matigas,0
Damaged items and wrong order arrived. I reached out to the seller many times to get their full address for the return since they only provided street address with no number. It would be impossible for courier to look for them.,0
The color is not the same as the one posted in the product’s listing. Contacted the seller and they NEVER REPLIED TO MY QUERIES. The other items i purchased were defective and broken. 1). You cannot put the batteries as the spring that holds the batteries is not there. 2). The bubble wrap wasnt thic,0
My order is 1 unicorn and 1 dinosaur pop it but i received 2 unicorn... So disappointed coz my daughter expecting the dinosaur one,0
Walang dumating na product,0
Basura,0
sira naman ung isa. na click ko agad order received,0
Mabilis masira ung soft ball eme eme then may maliit na butas ung pop it,0
It's not even packaged properly!! Don't ever think to chat with seller. They are not responding to you. Item has lot of damage. Box was crumbled so bad. Packaging was so careless. Don't think to buy from here. Return will gonna hustle you. Can I give 0 star?,0
Yung electric fan hindi nagana... Hindi malagyan ng battery sayang ang pera!!😤🤬🤬🤬 Panu gagana walang spring na pang battery anu ba yan..,0
Lacking item when delivered,0
Ang bilis masira wala panf 1hr nabagsak lang sira na,0
First order was an absolute fail dahil mali pareho ng binigay sa akin. Pagkaorder ko ng bago sumabog naman yung stress ball. Seller does not respond at all,0
